birim,isim,dovizAdi,dovizAlis,dovizSatis,efektifAlis,efektifSatis,dolarKuru,digerKur,kod,dovizKodu
1,ABD DOLARI,US DOLLAR,32.4929,32.5514,32.4701,32.6002,,,USD,USD
1,AVUSTRALYA DOLARI,AUSTRALIAN DOLLAR,21.6372,21.7783,21.5376,21.9089,1.4982,,AUD,AUD
1,DANİMARKA KRONU,DANISH KRONE,4.6786,4.7016,4.6753,4.7124,6.9342,,DKK,DKK
1,EURO,EURO,34.9499,35.0129,34.9254,35.0654,,1.0756,EUR,EUR
1,İNGİLİZ STERLİNİ,POUND STERLING,41.1849,41.3997,41.1561,41.4618,,1.2697,GBP,GBP
1,İSVİÇRE FRANGI,SWISS FRANK,35.8766,36.1069,35.8228,36.1611,0.9036,,CHF,CHF
1,İSVEÇ KRONU,SWEDISH KRONA,3.0614,3.0931,3.0592,3.1002,10.57,,SEK,SEK
1,KANADA DOLARI,CANADIAN DOLLAR,23.728,23.835,23.6402,23.9256,1.3675,,CAD,CAD
1,KUVEYT DİNARI,KUWAITI DINAR,105.4013,106.7804,103.8202,108.3822,,3.2621,KWD,KWD
1,NORVEÇ KRONU,NORWEGIAN KRONE,3.0434,3.0639,3.0413,3.0709,10.65,,NOK,NOK
1,SUUDİ ARABİSTAN RİYALİ,SAUDI RIYAL,8.6614,8.677,8.5964,8.7421,3.7515,,SAR,SAR
100,JAPON YENİ,JAPENESE YEN,20.0263,20.1589,19.9522,20.2355,161.86,,JPY,JPY
1,BULGAR LEVASI,BULGARIAN LEV,17.7694,18.0019,0.0,0.0,1.8183,,BGN,BGN
1,RUMEN LEYİ,NEW LEU,6.9829,7.0743,0.0,0.0,4.6271,,RON,RON
1,RUS RUBLESİ,RUSSIAN ROUBLE,0.36954,0.37438,0.0,0.0,87.44,,RUB,RUB
100,İRAN RİYALİ,IRANIAN RIAL,0.00824,0.00835,0.0,0.0,391996,,IRR,IRR
1,ÇİN YUANI,CHINESE RENMINBI,4.4423,4.5004,0.0,0.0,7.2734,,CNY,CNY
1,PAKİSTAN RUPİSİ,PAKISTANI RUPEE,0.11606,0.11757,0.0,0.0,278.41,,PKR,PKR
1,KATAR RİYALİ,QATARI RIAL,8.8608,8.9767,0.0,0.0,3.6465,,QAR,QAR
1,GÜNEY KORE WONU,SOUTH KOREAN WON,0.02326,0.02356,0.0,0.0,1389,,KRW,KRW
1,AZERBAYCAN YENİ MANATI,AZERBAIJANI NEW MANAT,19.0063,19.255,0.0,0.0,1.7000,,AZN,AZN
1,BİRLEŞİK ARAP EMİRLİKLERİ DİRHEMİ,UNITED ARAB EMIRATES DIRHAM,8.7968,8.9119,0.0,0.0,3.6730,,AED,AED
1,ÖZEL ÇEKME HAKKI (SDR)                            ,SPECIAL DRAWING RIGHT (SDR)                       ,42.8353,0.0,0.0,0.0,,1.31711,XDR,XDR
